scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h30,0.066,1.436,-0.092,9.243,6.036,6.300,-6.907,0.577,0.021,-0.017,0.160
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h35,0.099,1.467,-0.118,9.167,5.914,6.334,-6.721,0.587,0.014,-0.014,0.178
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h40,0.160,1.523,-0.109,9.250,4.969,6.577,-6.339,0.582,0.023,-0.011,0.197
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h45,0.210,1.604,-0.125,9.083,4.591,6.612,-6.225,0.580,0.025,-0.007,0.213
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h50,0.263,1.698,-0.131,8.951,4.289,6.652,-6.149,0.577,0.029,-0.004,0.229
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h55,0.319,1.797,-0.130,8.850,4.004,6.699,-6.093,0.575,0.033,-0.003,0.245
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h30,0.066,1.436,-0.092,9.243,6.036,6.300,-6.907,0.577,0.021,-0.017,0.160
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h35,0.099,1.467,-0.118,9.167,5.914,6.334,-6.721,0.587,0.014,-0.014,0.178
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h40,0.271,1.529,-0.322,6.344,15.678,3.768,-7.286,0.388,-0.017,0.025,0.055
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h45,0.210,1.604,-0.125,9.083,4.591,6.612,-6.225,0.580,0.025,-0.007,0.213
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h50,0.263,1.698,-0.131,8.951,4.289,6.652,-6.149,0.577,0.029,-0.004,0.229
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h55,0.319,1.797,-0.130,8.850,4.004,6.699,-6.093,0.575,0.033,-0.003,0.245
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
h30,0.066,1.436,-0.092,9.243,6.036,6.300,-6.907,0.577,0.021,-0.017,0.160
