scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_0,0.522,3.602,-0.088,12.264,15.933,3.927,-8.921,0.231,0.020,-0.034,0.120
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-5,0.618,4.108,-0.221,10.065,20.442,3.554,-9.356,0.129,0.005,-0.024,0.114
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-10,0.309,2.593,-0.180,7.399,19.044,3.486,-8.123,0.158,0.002,-0.027,0.050
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-15,0.241,2.584,-0.212,6.141,21.490,3.167,-8.051,0.088,-0.003,-0.012,0.035
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-20,0.434,3.888,-0.299,6.307,21.426,3.069,-8.694,-0.005,-0.002,-0.010,0.108
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-24,0.320,2.924,-0.209,7.250,22.630,3.203,-8.071,0.119,0.010,-0.033,0.088
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-29,0.386,4.501,-0.418,4.382,19.546,3.298,-10.178,-0.046,-0.008,-0.009,0.171
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_0,0.522,3.602,-0.088,12.264,15.933,3.927,-8.921,0.231,0.020,-0.034,0.120
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-5,0.618,4.108,-0.221,10.065,20.442,3.554,-9.356,0.129,0.005,-0.024,0.114
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-10,0.309,2.593,-0.180,7.399,19.044,3.486,-8.123,0.158,0.002,-0.027,0.050
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-15,0.241,2.584,-0.212,6.141,21.490,3.167,-8.051,0.088,-0.003,-0.012,0.035
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-20,0.434,3.888,-0.299,6.307,21.426,3.069,-8.694,-0.005,-0.002,-0.010,0.108
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-24,0.320,2.924,-0.209,7.250,22.630,3.203,-8.071,0.119,0.010,-0.033,0.088
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
rot_-29,0.386,4.501,-0.418,4.382,19.546,3.298,-10.178,-0.046,-0.008,-0.009,0.171
