scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_strong_ham,1.009,5.889,-0.001,15.529,33.423,5.379,-14.038,0.532,0.098,-0.030,0.132
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_normal_ham,0.542,3.964,-0.037,16.627,28.490,5.142,-11.786,0.513,0.072,-0.025,0.114
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_weak_ham,0.827,5.355,0.005,18.631,29.356,5.450,-13.827,0.502,0.094,-0.025,0.140
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_ham_normal_quad,0.146,1.362,-0.119,5.149,15.552,4.168,-7.852,0.391,0.006,-0.010,0.035
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
normal,0.149,1.388,-0.114,6.836,15.597,4.035,-7.657,0.395,0.008,-0.009,0.032
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_ham_normal_quad,0.152,1.417,-0.109,10.406,15.649,3.901,-7.460,0.401,0.011,-0.009,0.029
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_strong_ham,1.362,7.387,0.051,18.101,40.877,3.639,-12.622,0.207,0.105,-0.019,0.189
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_normal_ham,1.305,7.344,0.040,36.620,74.210,3.642,-12.906,0.174,0.111,-0.012,0.197
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_weak_ham,1.259,6.930,0.014,9.886,32.315,3.553,-13.030,0.129,0.104,-0.006,0.186
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_strong_ham,1.009,5.889,-0.001,15.529,33.423,5.379,-14.038,0.532,0.098,-0.030,0.132
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_normal_ham,0.542,3.964,-0.037,16.627,28.490,5.142,-11.786,0.513,0.072,-0.025,0.114
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_quad_weak_ham,0.827,5.355,0.005,18.631,29.356,5.450,-13.827,0.502,0.094,-0.025,0.140
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
strong_ham_normal_quad,0.146,1.362,-0.119,5.149,15.552,4.168,-7.852,0.391,0.006,-0.010,0.035
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
normal,0.149,1.388,-0.114,6.836,15.597,4.035,-7.657,0.395,0.008,-0.009,0.032
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_ham_normal_quad,0.152,1.417,-0.109,10.406,15.649,3.901,-7.460,0.401,0.011,-0.009,0.029
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_strong_ham,1.362,7.387,0.051,18.101,40.877,3.639,-12.622,0.207,0.105,-0.019,0.189
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_normal_ham,1.305,7.344,0.040,36.620,74.210,3.642,-12.906,0.174,0.111,-0.012,0.197
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
weak_quad_weak_ham,1.259,6.930,0.014,9.886,32.315,3.553,-13.030,0.129,0.104,-0.006,0.186
