scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_0,0.167,1.383,-0.176,6.275,18.351,3.756,-7.761,0.334,0.006,0.000,0.023
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_5,0.167,1.387,-0.173,6.232,18.470,3.729,-7.769,0.318,0.012,0.002,0.025
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_10,0.173,1.413,-0.162,6.322,18.312,3.754,-7.784,0.313,0.018,0.003,0.025
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_15,2.126,8.632,0.033,37.554,50.881,3.397,-13.052,0.218,0.101,-0.026,0.093
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_20,1.248,7.432,0.080,17.024,43.116,4.794,-15.326,0.261,0.153,-0.021,0.185
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_25,1.174,6.131,0.074,23.210,27.825,4.176,-12.075,0.295,0.131,-0.032,0.134
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ben_30,0.866,4.515,0.056,14.284,30.678,3.396,-10.125,0.144,0.127,-0.004,0.092
