scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_0,0.167,1.383,-0.176,6.275,18.351,3.756,-7.761,0.334,0.006,0.000,0.023
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_5,0.165,1.401,-0.171,6.391,18.483,3.793,-7.835,0.338,0.007,-0.001,0.026
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_10,1.083,6.403,0.074,32.214,42.112,4.988,-13.681,0.454,0.118,-0.036,0.176
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_15,2.211,8.198,0.006,30.940,40.500,3.507,-12.850,0.254,0.082,-0.029,0.091
scenario,fx,max_fy,fz,qh_ratio,gta_ratio,fx_jr,fy_jr,fz_jr,mx_jr,my_jr,mz_jr
ext_20,0.857,4.593,0.031,41.636,28.596,3.800,-9.908,0.338,0.074,-0.028,0.122
